section_name,item_no,result_json
column grants,1,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,2,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,3,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,4,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,5,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,6,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,7,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,8,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,9,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,10,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,11,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,12,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,13,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,14,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,15,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,16,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,17,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,18,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,19,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,20,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,21,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,22,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,23,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,24,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,25,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,26,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,27,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,28,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,29,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,30,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,31,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,32,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,33,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,34,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,35,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,36,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""anon"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,37,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,38,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,39,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,40,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,41,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,42,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,43,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
